left 0 0 49 100
right 51 0 49 100
top 15 0 85 49
bottom 15 51 85 49
full 0 0 100 100
large 10 10 80 80
large.left 0 10 80 80
large.right 20 10 80 80
medium 15 15 70 70
medium.left 0 15 70 70
medium.right 30 15 70 70
small 20 20 60 60
small.left 0 20 60 60
small.right 40 20 60 60
tiny 25 25 50 50
tiny.left 0 25 50 50
tiny.right 50 25 50 50
1/4 0 0 49 49
2/4 51 0 49 49
3/4 0 51 49 49
4/4 51 51 49 49
3.1 0 0 90 90
3.2 5 5 90 90
3.3 10 10 90 90
4.1 0 0 85 85
4.2 5 5 85 85
4.3 15 15 85 85
4.4 20 20 85 85
5.1 0 0 80 80
5.2 5 5 80 80
5.3 10 10 80 80
5.4 15 15 80 80
5.5 20 20 80 80
7.1 0 0 70 70
7.2 5 5 70 70
7.3 10 10 70 70
7.4 15 15 70 70
7.5 20 20 70 70
7.6 25 25 70 70
7.7 30 30 70 70
huge 5 5 90 90
mini 32.5 32.5 35 35
wechat 0 0 40 50
1/6 0 0 49 32
2/6 51 0 49 32
3/6 0 34 49 32
4/6 51 34 49 32
5/6 0 68 49 32
6/6 51 68 49 32
douyin 0 0 50 50
win 10 10 90 90
cal 49 20 51 80
yuyin 65 0 35 40
h3.1 0 0 32 100
h3.2 34 0 32 100
h3.3 68 0 32 100
ominifocus 0 80 30 20
meeting 2 2 96 96
perf.left 0 0 50 40
perf.right 50 0 50 40
perf.bottom 0 40 100 60
perf.top 0 0 100 40
